
2015-01-12 00:33:50: Process duration STREAM FRAME 0
2015-01-12 00:33:50: Process duration TOTAL 1
2015-01-12 00:33:50: Process duration STREAM FRAME 0
2015-01-12 00:33:50: Process duration TOTAL 2
2015-01-12 00:33:50: Process duration STREAM FRAME 0
2015-01-12 00:33:50: Process duration TOTAL 2
2015-01-12 00:33:50: Process duration STREAM FRAME 2
2015-01-12 00:33:50: Process duration TOTAL 4
2015-01-12 00:33:50: Process duration STREAM FRAME 0
2015-01-12 00:33:50: Process duration TOTAL 1
2015-01-12 00:33:50: Process duration STREAM FRAME 2
2015-01-12 00:33:50: Process duration TOTAL 3
2015-01-12 00:33:50: Process duration STREAM FRAME 0
2015-01-12 00:33:50: Process duration TOTAL 2
2015-01-12 00:33:50: Process duration STREAM FRAME 3
2015-01-12 00:33:50: Process duration TOTAL 4
2015-01-12 00:33:50: Process duration STREAM FRAME 0
2015-01-12 00:33:50: Process duration TOTAL 2
2015-01-12 00:33:50: Process duration STREAM FRAME 0
2015-01-12 00:33:50: Process duration TOTAL 2
2015-01-12 00:33:50: Process duration STREAM FRAME 1
2015-01-12 00:33:50: Process duration TOTAL 2
2015-01-12 00:33:50: Process duration STREAM FRAME 2
2015-01-12 00:33:50: Process duration TOTAL 4
2015-01-12 00:33:51: Process duration STREAM FRAME 0
2015-01-12 00:33:51: Process duration TOTAL 1
2015-01-12 00:33:51: Process duration STREAM FRAME 2
2015-01-12 00:33:51: Process duration TOTAL 2
2015-01-12 00:33:51: Process duration STREAM FRAME 0
2015-01-12 00:33:51: Process duration TOTAL 1
2015-01-12 00:33:51: Process duration STREAM FRAME 0
2015-01-12 00:33:51: Process duration TOTAL 3
2015-01-12 00:33:51: Process duration STREAM FRAME 0
2015-01-12 00:33:51: Process duration TOTAL 2
2015-01-12 00:33:51: Process duration STREAM FRAME 2
2015-01-12 00:33:51: Process duration TOTAL 3
2015-01-12 00:33:51: Process duration STREAM FRAME 0
2015-01-12 00:33:51: Process duration TOTAL 2
2015-01-12 00:33:51: Process duration STREAM FRAME 2
2015-01-12 00:33:51: Process duration TOTAL 3
2015-01-12 00:33:51: Process duration STREAM FRAME 0
2015-01-12 00:33:51: Process duration TOTAL 1
2015-01-12 00:33:51: Process duration STREAM FRAME 2
2015-01-12 00:33:51: Process duration TOTAL 3
2015-01-12 00:33:51: Process duration STREAM FRAME 0
2015-01-12 00:33:51: Process duration TOTAL 1
2015-01-12 00:33:51: Process duration STREAM FRAME 0
2015-01-12 00:33:51: Process duration TOTAL 1
2015-01-12 00:33:51: Process duration STREAM FRAME 0
2015-01-12 00:33:51: Process duration TOTAL 2
2015-01-12 00:33:51: Process duration STREAM FRAME 2
2015-01-12 00:33:51: Process duration TOTAL 3
2015-01-12 00:33:51: Process duration STREAM FRAME 0
2015-01-12 00:33:51: Process duration TOTAL 2
2015-01-12 00:33:51: Process duration STREAM FRAME 2
2015-01-12 00:33:51: Process duration TOTAL 3
2015-01-12 00:33:51: Process duration STREAM FRAME 0
2015-01-12 00:33:51: Process duration TOTAL 1
2015-01-12 00:33:51: Process duration STREAM FRAME 1
2015-01-12 00:33:51: Process duration TOTAL 3
2015-01-12 00:33:51: Process duration STREAM FRAME 0
2015-01-12 00:33:51: Process duration TOTAL 3
2015-01-12 00:33:51: Process duration STREAM FRAME 3
2015-01-12 00:33:51: Process duration TOTAL 5
2015-01-12 00:33:51: Process duration STREAM FRAME 0
2015-01-12 00:33:51: Process duration TOTAL 1
2015-01-12 00:33:51: Process duration STREAM FRAME 1
2015-01-12 00:33:51: Process duration TOTAL 2
2015-01-12 00:33:51: Process duration STREAM FRAME 0
2015-01-12 00:33:51: Process duration TOTAL 1
2015-01-12 00:33:51: Process duration STREAM FRAME 2
2015-01-12 00:33:51: Process duration TOTAL 2
2015-01-12 00:33:51: Process duration STREAM FRAME 0
2015-01-12 00:33:51: Process duration TOTAL 2
2015-01-12 00:33:51: Process duration STREAM FRAME 2
2015-01-12 00:33:51: Process duration TOTAL 3
2015-01-12 00:33:51: Process duration STREAM FRAME 0
2015-01-12 00:33:51: Process duration TOTAL 4
2015-01-12 00:33:51: Process duration STREAM FRAME 4
2015-01-12 00:33:51: Process duration TOTAL 5
2015-01-12 00:33:51: Process duration STREAM FRAME 0
2015-01-12 00:33:51: Process duration TOTAL 1
2015-01-12 00:33:51: Process duration STREAM FRAME 1
2015-01-12 00:33:51: Process duration TOTAL 2
2015-01-12 00:33:51: Process duration STREAM FRAME 0
2015-01-12 00:33:51: Process duration TOTAL 2
